,代码,学校名称,办学性质,招生人数_2024,指标生人数_2024,招生人数_2023,指标生人数_2023,[2019],[2020],[2021],[2022],[2023],type,2019,2020,2021,2022,2023,AC,AC_指标生,D,D_指标生,ACD,ACD_指标生
0,8310101,深圳中学,公办,1626,813,1625.0,813.0,439.0,433.0,576.0,572.0,574.0,AC,1.0,1.0,1.0,1.0,1.0,1626.0,813.0,174.0,87.0,,
1,8310102,深圳实验学校（高中部）,公办,476,238,465.0,233.0,436.0,429.0,573.0,571.0,573.0,AC,2.0,4.0,2.0,2.0,2.0,476.0,238.0,52.0,26.0,,
2,8310106,深圳市高级中学中心校区,公办,725,363,720.0,360.0,432.0,430.0,568.0,570.0,572.0,AC,4.0,3.0,4.0,4.0,3.0,725.0,363.0,175.0,88.0,,
3,8310105,深圳外国语学校,公办,698,349,682.0,341.0,433.0,430.0,570.0,570.0,572.0,AC,3.0,2.0,3.0,3.0,4.0,698.0,349.0,94.0,47.0,,
4,8310401,红岭中学,公办,975,488,960.0,480.0,428.0,426.0,564.0,566.0,569.0,AC,5.0,5.0,5.0,5.0,5.0,975.0,488.0,275.0,138.0,,
5,8310601,宝安中学（集团）高中部,公办,805,403,790.0,395.0,425.0,426.0,561.0,564.0,568.0,AC,6.0,6.0,6.0,6.0,6.0,805.0,403.0,195.0,98.0,,
6,8310503,育才中学,公办,488,244,470.0,235.0,423.0,422.0,557.0,562.0,567.0,AC,8.0,9.0,9.0,8.0,7.0,488.0,244.0,132.0,66.0,,
7,8310112,深圳大学附属中学（深大附中）,公办,455,228,445.0,223.0,424.0,423.0,560.0,563.0,567.0,AC,7.0,7.0,7.0,7.0,8.0,455.0,228.0,145.0,73.0,,
8,8310120,深圳科学高中,公办,845,423,825.0,413.0,419.0,419.0,553.0,559.0,565.0,AC,10.0,10.0,10.0,10.0,9.0,845.0,423.0,255.0,128.0,,
9,8310507,北京师范大学南山附属学校,公办,323,162,301.0,151.0,411.0,412.0,542.0,556.0,563.0,AC,15.0,16.0,14.0,13.0,10.0,323.0,162.0,77.0,39.0,,
12,8310509,南山外国语学校（集团）高级中学,公办,480,240,480.0,240.0,422.0,423.0,558.0,562.0,561.0,AC,9.0,8.0,8.0,9.0,13.0,480.0,240.0,120.0,60.0,,
10,8310116,深圳市第二高级中学,公办,775,388,760.0,380.0,415.0,416.0,548.0,556.0,561.0,AC,12.0,12.0,11.0,12.0,11.0,775.0,388.0,225.0,113.0,,
